state,city,branch,address,latitude,longitude
HARYANA,Jind,JIND,"FIRST FLOOR, SCO-28, HUDA GROUND, URBAN ESTATE, JIND, DISTT.-JIND",29.313257,76.338016
HARYANA,Kaithal,KAITHAL,"SHOP NO.-11-C & 11-D, FIRST FLOOR, MITC COLONY, SECTARIAL-HUDA ROAD, OPPOSITE MINI SECRETARIATE, NEAR DISTRICT COURT COMPLEX, TEHSIL-KAITHAL, DISTT.-KAITHAL",29.800781,76.416305
HARYANA,Kanina,KANINA,"FIRST FLOOR, PRINCIPLE MARKET, NEAR STATE BANK OF INDIA, WARD NO.-12, REWARI-MAHENDRAGARH ROAD, KANINA, DISTT.-MAHENDRAGARH",28.33566,76.307784
HARYANA,Karnal,KARNAL,"First Floor, Sco No.-170, Urban Estate, Near Namaste Chowk, Old G.T. Road, Sector-16, Karnal, Distt.-Karnal",29.6714469,76.9911221
HARYANA,Karnal Pritam Nagar,KARNAL PRITAM NAGAR,"869, GROUND FLOOR, ADJOINING HDFC CURRENCY CHEST, PRITAM NAGAR, G. T. ROAD, KARNAL, DISTT.-KARNAL",29.674101,76.993387
HARYANA,Kurukshetra,Kurukshetra,"First Floor, Sco 61P, Sector 17, Near Kessel Mall, Kurukshetra",29.970689,76.836935
HARYANA,Ladwa,LADWA,"PLOT NO.-203, GROUND FLOOR, WARD NO.-13, NEAR HINORI CHOWK, LADWA, DISTT.-KURUKSHETRA",29.993701,77.048135
HARYANA,Loharu,LOHARU,"NEAR DIST.COURT, PILANI ROAD, LOHARU",28.431936,75.802765
HARYANA,Mahindergarh,MAHINDERGARH,"CHAUHAN COMPLEX, GROUND FLOOR, NEAR RAILWAY FLYOVER, FRIENDS COLONY, KHATONI NO.-321, NARNAUL ROAD, MOHINDERGARH, DISTT.-MAHINDERGARH",28.277684,76.139735
HARYANA,Mandi Dabwali,MANDI DABWALI,"FIRST FLOOR, ABOVE IDFC BANK, CHAUTALA ROAD, MANDI DABWALI, SIRSA, HARYANA",29.961072,74.705585
HARYANA,Meham,MEHAM,"FIRST FLOOR, BALAJI COMPLEX, NH-9, DELHI-HISAR ROAD, MEHAM, DISTT.-ROHTAK",28.964282,76.300264
HARYANA,Naraingarh,NARAINGARH,"FIRST FLOOR, ABOVE UTKARSH SMALL FINANCE BANK, NEAR VISHWAKARMA CHOWK, SANDHOURA ROAD, NARAINGARH, DISTT.-AMBALA",30.472007,77.121827
HARYANA,Narnaul,NARNAUL,"GROUND FLOOR, OPPOSITE PUNJAB & SINDH BANK, KHASRA NO.-2091/2, KAILASH NAGAR, REWARI ROAD, NARNAUL, DISTT.-MAHENDRAGARH",28.054609,76.118391
HARYANA,Narwana,NARWANA,"GROUND FLOOR, NEAR NEW BUS STAND & DAV SCHOOL BASTI, JIND-PATIALA ROAD, NARWANA DIST-JIND",29.590107,76.129953
HARYANA,Palwal,Palwal,"First Floor, Vijay Market, Behind Palwal Jail, Dist-Palwal",28.131336,77.328796
HARYANA,Panipat,PANIPAT,"3673/2, KAMAL CINEMA COMPLEX, AXEL TOWER, NETAJI COLONY, SANJAY CHOWK, PANIPAT, DISTT.-PANIPAT",29.38516,76.971952
HARYANA,Pehowa,PEHOWA,"FIRST FLOOR, SIKANDARA COLONY, OPPOSITE RELIANCE JIO OFFICE, KURUKSHETRA ROAD, PEHOWA, DISTT.-KURUKSHETRA",29.980453,76.591388
HARYANA,Rewari,REWARI,"PLOT NO.-128, FIRST FLOOR, OPPOSITE BMG MALL, SECTOR-5, REWARI, DISTT.-REWARI",28.195483,76.622639
HARYANA,Satnali,Satnali,"FIRST FLOOR, KHASRA NO.-2091/2, OPPOSITE POWER HOUSE ROAD, NEAR LOHARU CHOWK, SATNALI, DISTT.-MAHENDRAGARH",28.381236,75.960546
HARYANA,Sirsa,SIRSA,"FIRST FLOOR, ABOVE INDIAN BANK, JANTA BHAWAN ROAD, OPP.SHYAM BAGICHA, SIRSA",29.545078,75.0282
Haryana,Siwani,SIWANI,"First Floor, Khasra no. 531, Ward no. 12, Near Vishwa Karma Mandir, Siwani, Tehsil Siwani Dist. Bhiwani",28.905371,75.607572
