State,City,Branch,Address,Latitude,Longitude,Pincode,api_pincode
Madhya Pradesh,Ashoknagar,ASHOK NAGAR,"Plot No. 963, 1st Floor, Ward No. 07, Near HDFC Bank Chouraha, Vidisha Road, Ashok Nagar, Madhya Pradesh - 473331",24.5694893,77.7351318,473331,
Madhya Pradesh,Ashta,ASHTA,"IN FRONT OF HP PETRIOL PUMP, PARVATI THANA ROAD ASHTA DISTT SEHORE 466116",23.0305137,76.7045451,466116,
Madhya Pradesh,Badnagar,BADNAGAR,"157/10 Shikshak Colony, Near BOI ATM, Badnagar 456771, Madhya Pradesh, India",23.041328,75.370184,456771,
Madhya Pradesh,BALAGHAT,BALAGHAT,"1ST FLOOR, WARD NO.22,CIRCUIT HOUSE ROAD,BALAGHAT, MADHYA PRADESH - 481001",21.812456,80.188461,481001,
Madhya Pradesh,Barwani,BARWANI,"House No. 165/10, Ekta Nagar, Near Anjad Naka, Barwani, MP- 451551.",22.030378,74.911602,451551,
Madhya Pradesh,Betul,BETUL,"1st Floor, Plot No 1/80, JH College Road, Near PNB Bank, Civil Lines, Betul, Madhya Pradesh - 460001",21.90526,77.906663,460001,
Madhya Pradesh,Khargone,BHIKANGAON,"1st Floor, Sony Colony, Sanawad Rd, Soni Colony, Bhikangaon, Madhya Pradesh 451331",21.8664947,75.9615923,451331,
Madhya Pradesh,Bhopal,BHOPAL,"1st Floor,18-B Press Complex, M P Nagar Zone – I, Bhopal MP 462011",23.237568,77.434837,462011,
Madhya Pradesh,Bhopal,BHOPAL KOLAR ROAD,"Shop No. 5 & 6, First Floor, Ultimate Arcada, Kolar Road, Bhopal, Madhya Pradesh 462041",23.1856383,77.4172983,462041,
Madhya Pradesh,Biaora,BIAORA,"GUNA BYPASS TIRAHA, OLD AB ROAD, BIAORA, DIST -RAJGARH, M.P.-465674",23.931222,76.914975,465674,
Madhya Pradesh,BINA,BINA,"P.H. No. 17/51, 1st Floor Singh Tower, In Front of Punjab National Bank Station Road, Dist, Bina, Madhya Pradesh 470113",24.1807764,78.1993317,470113,
Madhya Pradesh,Burhanpur,BURHANPUR,"OFFICE NO.7 ,3RD FLOOR, SHREE BUILDING, RAVER ROAD, A-3, INDIRA COLONY, BURHANPUR, M.P. -450331",21.3122969,76.2134566,450331,
Madhya Pradesh,Chattarpur,CHATTARPUR,"1st Floor, Garg Plaza, Opposite Stadium, Panna Road, Chattarpur 471001",24.900288,79.589233,471001,
Madhya Pradesh,Chhindwara,CHHINDWARA,"Dawarka Tower,Adarsh Nagar,Opp Om Aditya Dham,Parasiya Road,Chhindwara,M.P.",22.064279,78.913137,,480001
Madhya Pradesh,DABRA,DABRA,"1st Floor, Pratap Plaza, Dr. Goundke Pass, Harshi Bhitarwa, Subhashganj, Dabra, Distt. Gwalior, Madhya Pradesh-475110",25.8860217,78.3313538,475110,
Madhya Pradesh,Damoh,DAMOH,"1ST FLOOR, SAMRIDHI TOWER, BALAKOT ROAD, KILLAI NAKA, DAMOH, M.P -470661",23.826419,79.434231,470661,
Madhya Pradesh,Dewas,DEWAS,"Diamond Tower,1st Floor, Tilak Nagar, A.B.Road, Dewas,M.P. -455001",22.95905,76.042754,455001,
Madhya Pradesh,DHAMNOD,DHAMNOD,"GROUND FLOOR,AB ROAD,OPPOSITE HP PETROL PUMP,DHAMNOD,DIST - DHAR - 454552 - MADHYA PRADESH",22.203846,75.470427,454552,
Madhya Pradesh,Dhar,DHAR,"101, 1st Floor, Kanchan Classic, 20, Kashibag ,Indore AH Road, Dhar, M.P.",22.602642,75.310624,,454001
Madhya Pradesh,GUNA,GUNA,"1ST FLOOR, K K TOWER, (OPPOSITE SOMYA MALL), AB ROAD, GUNA, MADHYA PRADESH - 473001",24.638546,77.298238,473001,
Madhya Pradesh,Gwalior,GWALIOR,"1st Floor, 904, Patel Nagar, City Center, Gwalior, MP 474011",26.20774,78.190271,474011,
